,missing_files
0,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_19_14.csv.gz
1,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_19_23.csv.gz
2,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_20_05.csv.gz
3,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_20_08.csv.gz
4,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_20_09.csv.gz
5,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_20_13.csv.gz
6,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_1_21_14.csv.gz
7,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_17_22.csv.gz
8,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_17_23.csv.gz
9,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_00.csv.gz
10,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_01.csv.gz
11,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_02.csv.gz
12,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_03.csv.gz
13,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_04.csv.gz
14,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_05.csv.gz
15,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_06.csv.gz
16,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_07.csv.gz
17,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_08.csv.gz
18,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_09.csv.gz
19,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_10.csv.gz
20,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_11.csv.gz
21,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_12.csv.gz
22,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_13.csv.gz
23,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_14.csv.gz
24,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_15.csv.gz
25,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_16.csv.gz
26,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_17.csv.gz
27,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_18.csv.gz
28,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_19.csv.gz
29,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_20.csv.gz
30,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_21.csv.gz
31,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_22.csv.gz
32,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_18_23.csv.gz
33,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_00.csv.gz
34,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_01.csv.gz
35,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_02.csv.gz
36,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_03.csv.gz
37,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_04.csv.gz
38,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_05.csv.gz
39,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_06.csv.gz
40,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_07.csv.gz
41,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_08.csv.gz
42,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_09.csv.gz
43,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_10.csv.gz
44,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_11.csv.gz
45,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_12.csv.gz
46,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_13.csv.gz
47,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_14.csv.gz
48,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_15.csv.gz
49,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_16.csv.gz
50,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_17.csv.gz
51,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_18.csv.gz
52,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_19.csv.gz
53,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_20.csv.gz
54,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_21.csv.gz
55,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_22.csv.gz
56,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_19_23.csv.gz
57,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_00.csv.gz
58,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_01.csv.gz
59,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_02.csv.gz
60,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_03.csv.gz
61,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_04.csv.gz
62,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_05.csv.gz
63,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_06.csv.gz
64,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_07.csv.gz
65,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_08.csv.gz
66,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_09.csv.gz
67,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_10.csv.gz
68,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_11.csv.gz
69,/srv/data/twitter_sentiment/2014/bert_sentiment_2014_4_20_12.csv.gz
