,corrupted_files
0,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_00.csv.gz
1,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_01.csv.gz
2,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_02.csv.gz
3,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_03.csv.gz
4,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_04.csv.gz
5,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_05.csv.gz
6,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_06.csv.gz
7,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_07.csv.gz
8,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_08.csv.gz
9,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_09.csv.gz
10,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_10.csv.gz
11,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_11.csv.gz
12,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_5_02_12.csv.gz
13,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_6_21_10.csv.gz
14,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_6_25_14.csv.gz
15,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_07.csv.gz
16,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_08.csv.gz
17,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_09.csv.gz
18,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_10.csv.gz
19,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_11.csv.gz
20,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_12.csv.gz
21,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_13.csv.gz
22,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_14.csv.gz
23,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_15.csv.gz
24,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_16.csv.gz
25,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_17.csv.gz
26,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_18.csv.gz
27,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_19.csv.gz
28,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_20.csv.gz
29,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_01_21.csv.gz
30,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_8_27_19.csv.gz
31,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_9_24_21.csv.gz
32,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_10_15_14.csv.gz
33,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_10_15_15.csv.gz
34,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_10_16_20.csv.gz
35,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_10_16_21.csv.gz
36,/srv/data/twitter_sentiment/2015/bert_sentiment_2015_10_16_22.csv.gz
